,Id,Label,CDR3Length,cloneID,V_Gene,J_Gene
0,6120359,6120359,78,1095928,IGHV1-18,IGHV1-18
1,6120364,6120364,78,1095905,IGHV1-18,IGHV1-18
2,6125247,6125247,78,1105837,IGHV4-39,IGHV4-39
3,6125261,6125261,78,1104636,IGHV4-39,IGHV4-39
4,6125265,6125265,78,1104636,IGHV4-39,IGHV4-39
5,6125272,6125272,78,1104636,IGHV4-39,IGHV4-39
6,6125582,6125582,78,1097986,IGHV1-8,IGHV1-8
7,6129185,6129185,78,1097023,IGHV1-46,IGHV1-46
8,6136653,6136653,78,1104048,IGHV4-34,IGHV4-34
9,6138272,6138272,78,1104636,IGHV4-34,IGHV4-34
10,6138275,6138275,78,1104636,IGHV4-34,IGHV4-34
11,6138276,6138276,78,1104636,IGHV4-34,IGHV4-34
12,6138286,6138286,78,1104636,IGHV4-34,IGHV4-34
13,6138291,6138291,78,1104636,IGHV4-34,IGHV4-34
14,6138301,6138301,78,1104636,IGHV4-34,IGHV4-34
15,6138303,6138303,78,1104636,IGHV4-34,IGHV4-34
16,6138308,6138308,78,1104636,IGHV4-34,IGHV4-34
17,6142743,6142743,78,1105446,IGHV4-39,IGHV4-39
18,6146647,6146647,78,1102286,IGHV3-53,IGHV3-53
19,6146979,6146979,78,1101453,IGHV3-33,IGHV3-33
20,6148626,6148626,78,1108105,IGHV5-51,IGHV5-51
21,6150772,6150772,78,1099782,IGHV3-22,IGHV3-22
22,6151169,6151169,78,1103388,IGHV3-9,IGHV3-9
23,6163329,6163329,78,1104636,IGHV4-34,IGHV4-34
24,6163344,6163344,78,1104636,IGHV4-34,IGHV4-34
25,6163350,6163350,78,1104636,IGHV4-34,IGHV4-34
26,6163352,6163352,78,1104636,IGHV4-34,IGHV4-34
27,6163355,6163355,78,1104636,IGHV4-34,IGHV4-34
28,6163364,6163364,78,1104636,IGHV4-34,IGHV4-34
29,6163369,6163369,78,1104636,IGHV4-34,IGHV4-34
30,6163381,6163381,78,1104636,IGHV4-34,IGHV4-34
31,6163389,6163389,78,1104636,IGHV4-34,IGHV4-34
32,6166033,6166033,78,1099672,IGHV3-21,IGHV3-21
33,6166794,6166794,78,1104636,IGHV4-59,IGHV4-59
34,6166814,6166814,78,1104636,IGHV4-59,IGHV4-59
35,6166840,6166840,78,1104636,IGHV4-59,IGHV4-59
36,6174216,6174216,78,1103568,IGHV4-34,IGHV4-34
37,6174249,6174249,78,1104636,IGHV4-61,IGHV4-61
38,6175607,6175607,78,1097469,IGHV1-69,IGHV1-69
39,6181947,6181947,78,1096669,IGHV1-3,IGHV1-3
40,6182501,6182501,78,1103568,IGHV4-39,IGHV4-39
41,6189674,6189674,78,1104636,IGHV4-34,IGHV4-34
42,6192092,6192092,78,1104636,IGHV4-34,IGHV4-34
43,6196407,6196407,78,1104636,IGHV4-39,IGHV4-39
44,6196491,6196491,78,1104636,IGHV4-39,IGHV4-39
45,6202141,6202141,78,1104636,IGHV3-21,IGHV3-21
46,6204095,6204095,78,1097706,IGHV1-69,IGHV1-69
47,6207017,6207017,78,1096313,IGHV1-2,IGHV1-2
48,6207048,6207048,78,1104636,IGHV1-2,IGHV1-2
49,6210875,6210875,78,1097361,IGHV1-69,IGHV1-69
50,6211408,6211408,78,1104636,IGHV4-59,IGHV4-59
51,6211415,6211415,78,1104636,IGHV4-59,IGHV4-59
52,6211436,6211436,78,1107245,IGHV4-59,IGHV4-59
53,6211487,6211487,78,1104636,IGHV4-59,IGHV4-59
54,6211734,6211734,78,1095923,IGHV1-18,IGHV1-18
55,6211744,6211744,78,1104636,IGHV1-18,IGHV1-18
56,6211933,6211933,78,1104636,IGHV4-34,IGHV4-34
57,6211945,6211945,78,1104629,IGHV4-34,IGHV4-34
58,6211950,6211950,78,1104636,IGHV4-34,IGHV4-34
59,6211955,6211955,78,1104636,IGHV4-34,IGHV4-34
60,6211956,6211956,78,1104636,IGHV4-34,IGHV4-34
61,6212001,6212001,78,1104636,IGHV4-34,IGHV4-34
62,6212007,6212007,78,1104636,IGHV4-34,IGHV4-34
63,6212009,6212009,78,1104636,IGHV4-34,IGHV4-34
64,6212016,6212016,78,1104636,IGHV4-34,IGHV4-34
65,6212022,6212022,78,1104636,IGHV4-34,IGHV4-34
66,6212044,6212044,78,1104636,IGHV4-34,IGHV4-34
67,6212046,6212046,78,1104636,IGHV4-34,IGHV4-34
68,6212047,6212047,78,1104636,IGHV4-34,IGHV4-34
69,6212052,6212052,78,1104636,IGHV4-34,IGHV4-34
70,6212070,6212070,78,1104636,IGHV4-34,IGHV4-34
71,6212081,6212081,78,1104636,IGHV4-34,IGHV4-34
72,6213098,6213098,78,1104636,IGHV3-33,IGHV3-33
73,6213111,6213111,78,1101461,IGHV3-33,IGHV3-33
74,6214595,6214595,78,1097019,IGHV1-46,IGHV1-46
75,6218217,6218217,78,1096873,IGHV1-46,IGHV1-46
76,6221347,6221347,78,1106436,IGHV4-34,IGHV4-34
77,6227688,6227688,78,1104636,IGHV4-4,IGHV4-4
78,6227692,6227692,78,1104636,IGHV4-4,IGHV4-4
79,6227698,6227698,78,1104636,IGHV4-4,IGHV4-4
80,6256282,6256282,78,1107235,IGHV4-59,IGHV4-59
81,6256290,6256290,78,1104636,IGHV4-59,IGHV4-59
82,6256293,6256293,78,1107267,IGHV4-59,IGHV4-59
83,6261919,6261919,78,1104636,IGHV4-34,IGHV4-34
84,6261929,6261929,78,1104636,IGHV4-34,IGHV4-34
85,6261973,6261973,78,1104636,IGHV4-34,IGHV4-34
86,6261986,6261986,78,1104636,IGHV4-34,IGHV4-34
87,6266650,6266650,78,1102417,IGHV3-64,IGHV3-64
88,6266717,6266717,78,1097365,IGHV1-69,IGHV1-69
89,6269530,6269530,78,1099712,IGHV3-21,IGHV3-21
90,6269531,6269531,78,1099658,IGHV3-21,IGHV3-21
91,6276761,6276761,78,1104636,IGHV4-4,IGHV4-4
92,6284020,6284020,78,1104636,IGHV4-34,IGHV4-34
93,6284157,6284157,78,1095417,IGHV1-18,IGHV1-18
94,6288845,6288845,78,1107285,IGHV4-59,IGHV4-59
95,6288868,6288868,78,1104636,IGHV4-59,IGHV4-59
96,6296036,6296036,78,1105012,IGHV4-39,IGHV4-39
97,6300615,6300615,78,1101449,IGHV3-33,IGHV3-33
98,6300625,6300625,78,1101441,IGHV3-33,IGHV3-33
99,6311754,6311754,78,1097015,IGHV1-46,IGHV1-46
100,6311758,6311758,78,1097015,IGHV1-46,IGHV1-46
101,6312934,6312934,78,1099698,IGHV3-21,IGHV3-21
102,6318852,6318852,78,1098028,IGHV2-26,IGHV2-26
103,6320991,6320991,78,1098977,IGHV3-15,IGHV3-15
104,6327683,6327683,78,1104636,IGHV4-61,IGHV4-61
105,6327790,6327790,78,1104636,IGHV4-34,IGHV4-34
106,6327793,6327793,78,1104636,IGHV4-34,IGHV4-34
107,6335995,6335995,78,1104636,IGHV4-4,IGHV4-4
108,6339417,6339417,78,1104636,IGHV4-39,IGHV4-39
109,6339427,6339427,78,1105817,IGHV4-39,IGHV4-39
110,6344799,6344799,78,1103168,IGHV3-74,IGHV3-74
111,6349637,6349637,78,1101446,IGHV3-33,IGHV3-33
112,6349815,6349815,78,1102284,IGHV3-53,IGHV3-53
113,6349987,6349987,78,1097037,IGHV1-46,IGHV1-46
114,6350466,6350466,78,1096316,IGHV1-2,IGHV1-2
115,6356433,6356433,78,1106435,IGHV4-59,IGHV4-59
116,6356937,6356937,78,1098957,IGHV3-15,IGHV3-15
